event_id,start_time,end_time,trigger_time,time_proportion,channel,grid_row,grid_col
1,165.75,169.7,165.75,0.0,36,4,4
2,3296.2,3300.15,3296.2,0.0,38,4,6
3,4429.55,4433.5,4429.55,0.0,41,5,1
4,4620.55,4624.5,4620.55,0.0,3,0,3
5,4888.65,4892.6,4888.65,0.0,31,3,7
6,5357.9,5361.85,5360.6,0.675,2,0,2
6,5357.9,5361.85,5358.3,0.1,3,0,3
6,5357.9,5361.85,5360.7,0.7,5,0,5
6,5357.9,5361.85,5360.55,0.6625,10,1,2
6,5357.9,5361.85,5358.0,0.025,12,1,4
6,5357.9,5361.85,5358.05,0.0375,20,2,4
6,5357.9,5361.85,5360.65,0.6875,23,2,7
6,5357.9,5361.85,5358.1,0.05,25,3,1
6,5357.9,5361.85,5359.0,0.275,27,3,3
6,5357.9,5361.85,5360.3,0.6,28,3,4
6,5357.9,5361.85,5358.25,0.0875,31,3,7
6,5357.9,5361.85,5360.75,0.7125,32,4,0
6,5357.9,5361.85,5360.8,0.725,33,4,1
6,5357.9,5361.85,5360.55,0.6625,34,4,2
6,5357.9,5361.85,5360.7,0.7,39,4,7
6,5357.9,5361.85,5360.55,0.6625,40,5,0
6,5357.9,5361.85,5360.55,0.6625,41,5,1
6,5357.9,5361.85,5360.55,0.6625,42,5,2
6,5357.9,5361.85,5360.55,0.6625,44,5,4
6,5357.9,5361.85,5357.9,0.0,45,5,5
6,5357.9,5361.85,5360.55,0.6625,48,6,0
6,5357.9,5361.85,5360.55,0.6625,50,6,2
6,5357.9,5361.85,5360.5,0.65,51,6,3
6,5357.9,5361.85,5360.75,0.7125,52,6,4
6,5357.9,5361.85,5360.55,0.6625,53,6,5
6,5357.9,5361.85,5360.5,0.65,54,6,6
6,5357.9,5361.85,5360.5,0.65,57,7,1
6,5357.9,5361.85,5360.2,0.575,58,7,2
6,5357.9,5361.85,5360.2,0.575,60,7,4
6,5357.9,5361.85,5360.65,0.6875,61,7,5
6,5357.9,5361.85,5360.6,0.675,62,7,6
7,5362.15,5366.1,5362.15,0.0,25,3,1
7,5362.15,5366.1,5362.15,0.0,40,5,0
7,5362.15,5366.1,5363.65,0.375,42,5,2
8,5367.45,5371.4,5371.15,0.925,12,1,4
8,5367.45,5371.4,5367.45,0.0,25,3,1
8,5367.45,5371.4,5367.8,0.0875,58,7,2
9,5371.75,5375.7,5372.75,0.25,3,0,3
9,5371.75,5375.7,5371.75,0.0,4,0,4
9,5371.75,5375.7,5372.05,0.075,12,1,4
9,5371.75,5375.7,5373.75,0.5,25,3,1
9,5371.75,5375.7,5372.95,0.3,27,3,3
9,5371.75,5375.7,5372.9,0.2875,33,4,1
9,5371.75,5375.7,5373.65,0.475,41,5,1
9,5371.75,5375.7,5373.5,0.4375,51,6,3
9,5371.75,5375.7,5372.85,0.275,62,7,6
10,5378.5,5382.45,5380.2,0.425,2,0,2
10,5378.5,5382.45,5379.0,0.125,27,3,3
10,5378.5,5382.45,5378.5,0.0,46,5,6
11,5384.25,5388.2,5385.15,0.225,6,0,6
11,5384.25,5388.2,5384.45,0.05,27,3,3
11,5384.25,5388.2,5384.25,0.0,49,6,1
12,5388.3,5392.25,5388.3,0.0,31,3,7
12,5388.3,5392.25,5389.65,0.3375,39,4,7
12,5388.3,5392.25,5388.45,0.0375,49,6,1
13,5404.4,5408.35,5404.4,0.0,31,3,7
14,5412.9,5416.85,5412.9,0.0,31,3,7
15,5455.1,5459.05,5455.1,0.0,31,3,7
15,5455.1,5459.05,5455.1,0.0,39,4,7
16,5482.9,5486.85,5482.9,0.0,47,5,7
17,6032.15,6036.1,6032.15,0.0,39,4,7
18,6053.75,6057.7,6053.75,0.0,39,4,7
19,6058.5,6062.45,6058.5,0.0,15,1,7
19,6058.5,6062.45,6058.6,0.025,36,4,4
20,6074.85,6078.8,6074.85,0.0,14,1,6
21,9909.15,9913.1,9909.15,0.0,31,3,7
22,13554.75,13558.7,13554.75,0.0,5,0,5
23,14181.05,14185.0,14181.05,0.0,31,3,7
24,15699.2,15703.15,15699.25,0.0125,30,3,6
24,15699.2,15703.15,15699.2,0.0,31,3,7
25,15879.55,15883.5,15879.55,0.0,4,0,4
26,18433.95,18437.9,18433.95,0.0,8,1,0
27,18846.85,18850.8,18846.85,0.0,39,4,7
28,18861.55,18865.5,18861.55,0.0,57,7,1
29,22667.8,22671.75,22667.85,0.0125,20,2,4
29,22667.8,22671.75,22667.8,0.0,27,3,3
29,22667.8,22671.75,22667.8,0.0,31,3,7
30,22680.9,22684.85,22681.05,0.0375,27,3,3
30,22680.9,22684.85,22680.9,0.0,31,3,7
31,22717.65,22721.6,22717.65,0.0,39,4,7
32,22722.95,22726.9,22724.45,0.375,38,4,6
32,22722.95,22726.9,22722.95,0.0,39,4,7
33,22735.15,22739.1,22735.15,0.0,31,3,7
34,30150.9,30154.85,30154.5,0.9,6,0,6
34,30150.9,30154.85,30152.6,0.425,10,1,2
34,30150.9,30154.85,30154.45,0.8875,27,3,3
34,30150.9,30154.85,30150.9,0.0,34,4,2
34,30150.9,30154.85,30153.15,0.5625,45,5,5
34,30150.9,30154.85,30151.4,0.125,48,6,0
35,31341.45,31345.4,31341.45,0.0,7,0,7
36,32141.05,32145.0,32141.05,0.0,36,4,4
37,34554.7,34558.65,34554.7,0.0,31,3,7
38,34569.3,34573.25,34569.3,0.0,31,3,7
38,34569.3,34573.25,34572.2,0.725,59,7,3
39,34574.45,34578.4,34574.55,0.025,38,4,6
