timestamp,file_num,filename,event_id,start_time,end_time,trigger_time,channel,grid_row,grid_col,time_proportion,active_channels
20250818-165900,18,018.csv,1,4289.6,4389.55,4290.2,3,1,4,0.006,10
20250818-165900,18,018.csv,1,4289.6,4389.55,4290.25,5,1,6,0.0065,10
20250818-165900,18,018.csv,1,4289.6,4389.55,4290.2,6,1,7,0.006,10
20250818-165900,18,018.csv,1,4289.6,4389.55,4290.25,20,3,5,0.0065,10
20250818-165900,18,018.csv,1,4289.6,4389.55,4289.6,28,4,5,0.0,10
20250818-165900,18,018.csv,1,4289.6,4389.55,4290.25,29,4,6,0.0065,10
20250818-165900,18,018.csv,1,4289.6,4389.55,4290.3,32,5,1,0.007,10
20250818-165900,18,018.csv,1,4289.6,4389.55,4290.45,34,5,3,0.0085,10
20250818-165900,18,018.csv,1,4289.6,4389.55,4290.3,36,5,5,0.007,10
20250818-165900,18,018.csv,1,4289.6,4389.55,4292.25,40,6,1,0.0265,10
20250818-165900,18,018.csv,2,5202.85,5302.8,5241.1,6,1,7,0.3825,5
20250818-165900,18,018.csv,2,5202.85,5302.8,5202.85,31,4,8,0.0,5
20250818-165900,18,018.csv,2,5202.85,5302.8,5203.0,38,5,7,0.0015,5
20250818-165900,18,018.csv,2,5202.85,5302.8,5202.95,39,5,8,0.001,5
20250818-165900,18,018.csv,2,5202.85,5302.8,5203.1,47,6,8,0.0025,5
20250818-165900,18,018.csv,3,6550.2,6650.15,6627.1,30,4,7,0.769,3
20250818-165900,18,018.csv,3,6550.2,6650.15,6625.85,31,4,8,0.7565,3
20250818-165900,18,018.csv,3,6550.2,6650.15,6550.2,34,5,3,0.0,3
20250818-165900,18,018.csv,4,14038.85,14138.8,14038.85,31,4,8,0.0,2
20250818-165900,18,018.csv,4,14038.85,14138.8,14082.65,47,6,8,0.438,2
20250818-165900,18,018.csv,5,17023.35,17123.3,17112.95,1,1,2,0.896,25
20250818-165900,18,018.csv,5,17023.35,17123.3,17023.35,4,1,5,0.0,25
20250818-165900,18,018.csv,5,17023.35,17123.3,17101.6,5,1,6,0.7825,25
20250818-165900,18,018.csv,5,17023.35,17123.3,17115.5,6,1,7,0.9215,25
20250818-165900,18,018.csv,5,17023.35,17123.3,17112.95,11,2,4,0.896,25
20250818-165900,18,018.csv,5,17023.35,17123.3,17115.5,12,2,5,0.9215,25
20250818-165900,18,018.csv,5,17023.35,17123.3,17112.85,13,2,6,0.895,25
