timestamp,file_num,filename,event_id,start_time,end_time,trigger_time,channel,grid_row,grid_col,time_proportion,active_channels
20250818-165900,1,001.csv,1,2979.1,3079.05,3059.3,8,2,1,0.802,2
20250818-165900,1,001.csv,1,2979.1,3079.05,2979.1,61,8,6,0.0,2
20250818-165900,1,001.csv,2,19758.35,19858.3,19851.95,7,1,8,0.936,4
20250818-165900,1,001.csv,2,19758.35,19858.3,19758.35,33,5,2,0.0,4
20250818-165900,1,001.csv,2,19758.35,19858.3,19816.4,35,5,4,0.5805,4
20250818-165900,1,001.csv,2,19758.35,19858.3,19809.05,54,7,7,0.507,4
20250818-165900,1,001.csv,3,21070.5,21170.45,21070.5,19,3,4,0.0,2
20250818-165900,1,001.csv,3,21070.5,21170.45,21167.3,38,5,7,0.968,2
20250818-165900,1,001.csv,4,32261.65,32361.6,32337.85,7,1,8,0.762,3
20250818-165900,1,001.csv,4,32261.65,32361.6,32357.95,21,3,6,0.963,3
20250818-165900,1,001.csv,4,32261.65,32361.6,32261.65,33,5,2,0.0,3
20250818-165900,1,001.csv,5,32380.1,32480.05,32380.1,45,6,6,0.0,2
20250818-165900,1,001.csv,5,32380.1,32480.05,32388.95,57,8,2,0.0885,2
20250818-165900,1,001.csv,6,49095.55,49195.5,49178.5,7,1,8,0.8295,5
20250818-165900,1,001.csv,6,49095.55,49195.5,49108.6,18,3,3,0.1305,5
20250818-165900,1,001.csv,6,49095.55,49195.5,49095.55,33,5,2,0.0,5
20250818-165900,1,001.csv,6,49095.55,49195.5,49097.5,41,6,2,0.0195,5
20250818-165900,1,001.csv,6,49095.55,49195.5,49132.6,58,8,3,0.3705,5
20250818-165900,2,002.csv,1,62496.1,62596.05,62496.1,21,3,6,0.0,2
20250818-165900,2,002.csv,1,62496.1,62596.05,62504.85,30,4,7,0.0875,2
20250818-165900,2,002.csv,2,65508.4,65608.35,65508.4,7,1,8,0.0,2
20250818-165900,2,002.csv,2,65508.4,65608.35,65511.9,45,6,6,0.035,2
20250818-165900,2,002.csv,3,101985.8,102085.75,102022.8,23,3,8,0.37,2
20250818-165900,2,002.csv,3,101985.8,102085.75,101985.8,28,4,5,0.0,2
20250818-165900,2,002.csv,4,108818.0,108917.95,108843.9,7,1,8,0.259,4
20250818-165900,2,002.csv,4,108818.0,108917.95,108818.0,33,5,2,0.0,4
20250818-165900,2,002.csv,4,108818.0,108917.95,108835.05,41,6,2,0.1705,4
20250818-165900,2,002.csv,4,108818.0,108917.95,108881.55,54,7,7,0.6355,4
20250818-165900,2,002.csv,5,109607.5,109707.45,109619.7,35,5,4,0.122,2
20250818-165900,2,002.csv,5,109607.5,109707.45,109607.5,59,8,4,0.0,2
20250818-165900,2,002.csv,6,113973.65,114073.6,113973.65,21,3,6,0.0,2
20250818-165900,2,002.csv,6,113973.65,114073.6,113973.75,49,7,2,0.001,2
20250818-165900,3,003.csv,1,151203.45,151303.4,151203.45,41,6,2,0.0,2
20250818-165900,3,003.csv,1,151203.45,151303.4,151266.55,53,7,6,0.631,2
20250818-165900,3,003.csv,2,154246.05,154346.0,154289.45,7,1,8,0.434,3
20250818-165900,3,003.csv,2,154246.05,154346.0,154248.55,33,5,2,0.025,3
20250818-165900,3,003.csv,2,154246.05,154346.0,154246.05,54,7,7,0.0,3
20250818-165900,3,003.csv,3,169201.0,169300.95,169284.95,18,3,3,0.8395,2
20250818-165900,3,003.csv,3,169201.0,169300.95,169201.0,33,5,2,0.0,2
20250818-165900,4,004.csv,1,187945.75,188045.7,188000.3,7,1,8,0.5455,6
20250818-165900,4,004.csv,1,187945.75,188045.7,187968.8,16,3,1,0.2305,6
20250818-165900,4,004.csv,1,187945.75,188045.7,187952.45,18,3,3,0.067,6
20250818-165900,4,004.csv,1,187945.75,188045.7,187945.75,33,5,2,0.0,6
20250818-165900,4,004.csv,1,187945.75,188045.7,188037.2,45,6,6,0.9145,6
20250818-165900,4,004.csv,1,187945.75,188045.7,187974.5,51,7,4,0.2875,6
20250818-165900,4,004.csv,2,207045.65,207145.6,207045.65,7,1,8,0.0,2
20250818-165900,4,004.csv,2,207045.65,207145.6,207072.3,45,6,6,0.2665,2
20250818-165900,4,004.csv,3,215111.85,215211.8,215167.0,10,2,3,0.5515,7
20250818-165900,4,004.csv,3,215111.85,215211.8,215131.6,24,4,1,0.1975,7
20250818-165900,4,004.csv,3,215111.85,215211.8,215115.15,33,5,2,0.033,7
20250818-165900,4,004.csv,3,215111.85,215211.8,215149.3,35,5,4,0.3745,7
20250818-165900,4,004.csv,3,215111.85,215211.8,215111.85,41,6,2,0.0,7
20250818-165900,4,004.csv,3,215111.85,215211.8,215211.55,45,6,6,0.997,7
20250818-165900,4,004.csv,3,215111.85,215211.8,215140.7,54,7,7,0.2885,7
20250818-165900,4,004.csv,4,233965.9,234065.85,233979.05,55,7,8,0.1315,3
20250818-165900,4,004.csv,4,233965.9,234065.85,233979.4,62,8,7,0.135,3
20250818-165900,4,004.csv,4,233965.9,234065.85,233965.9,63,8,8,0.0,3
20250818-165900,5,005.csv,1,244316.6,244416.55,244375.1,7,1,8,0.585,3
20250818-165900,5,005.csv,1,244316.6,244416.55,244389.8,45,6,6,0.732,3
20250818-165900,5,005.csv,1,244316.6,244416.55,244316.6,54,7,7,0.0,3
20250818-165900,5,005.csv,2,265797.2,265897.15,265797.2,13,2,6,0.0,2
20250818-165900,5,005.csv,2,265797.2,265897.15,265832.4,17,3,2,0.352,2
20250818-165900,5,005.csv,3,267960.7,268060.65,267960.7,33,5,2,0.0,2
20250818-165900,5,005.csv,3,267960.7,268060.65,268037.25,49,7,2,0.7655,2
20250818-165900,5,005.csv,4,283780.1,283880.05,283780.1,49,7,2,0.0,2
20250818-165900,5,005.csv,4,283780.1,283880.05,283780.1,57,8,2,0.0,2
20250818-165900,5,005.csv,5,289992.9,290092.85,290046.45,7,1,8,0.5355,3
20250818-165900,5,005.csv,5,289992.9,290092.85,289992.9,33,5,2,0.0,3
20250818-165900,5,005.csv,5,289992.9,290092.85,290078.45,45,6,6,0.8555,3
20250818-165900,6,006.csv,1,19280.0,19379.95,19340.0,27,4,4,0.6,2
20250818-165900,6,006.csv,1,19280.0,19379.95,19280.0,43,6,4,0.0,2
20250818-165900,6,006.csv,2,19381.2,19481.15,19381.2,7,1,8,0.0,2
20250818-165900,6,006.csv,2,19381.2,19481.15,19473.05,45,6,6,0.9185,2
20250818-165900,6,006.csv,3,33799.3,33899.25,33799.3,25,4,2,0.0,2
20250818-165900,6,006.csv,3,33799.3,33899.25,33801.35,33,5,2,0.0205,2
20250818-165900,6,006.csv,4,39391.1,39491.05,39391.1,7,1,8,0.0,2
20250818-165900,6,006.csv,4,39391.1,39491.05,39419.15,45,6,6,0.2805,2
20250818-165900,7,007.csv,1,87386.55,87486.5,87473.15,45,6,6,0.866,3
20250818-165900,7,007.csv,1,87386.55,87486.5,87415.95,54,7,7,0.294,3
20250818-165900,7,007.csv,1,87386.55,87486.5,87386.55,59,8,4,0.0,3
20250818-165900,7,007.csv,2,92377.45,92477.4,92377.45,7,1,8,0.0,2
20250818-165900,7,007.csv,2,92377.45,92477.4,92404.95,45,6,6,0.275,2
20250818-165900,7,007.csv,3,101127.8,101227.75,101225.65,21,3,6,0.9785,2
20250818-165900,7,007.csv,3,101127.8,101227.75,101127.8,45,6,6,0.0,2
20250818-165900,7,007.csv,4,101326.9,101426.85,101326.9,33,5,2,0.0,2
20250818-165900,7,007.csv,4,101326.9,101426.85,101349.15,59,8,4,0.2225,2
20250818-165900,8,008.csv,1,129850.05,129950.0,129851.35,29,4,6,0.013,4
20250818-165900,8,008.csv,1,129850.05,129950.0,129885.5,33,5,2,0.3545,4
20250818-165900,8,008.csv,1,129850.05,129950.0,129860.0,58,8,3,0.0995,4
20250818-165900,8,008.csv,1,129850.05,129950.0,129850.05,59,8,4,0.0,4
20250818-165900,8,008.csv,2,143716.75,143816.7,143716.75,12,2,5,0.0,2
20250818-165900,8,008.csv,2,143716.75,143816.7,143741.15,51,7,4,0.244,2
20250818-165900,8,008.csv,3,149797.25,149897.2,149797.25,7,1,8,0.0,3
20250818-165900,8,008.csv,3,149797.25,149897.2,149871.9,33,5,2,0.7465,3
20250818-165900,8,008.csv,3,149797.25,149897.2,149833.15,45,6,6,0.359,3
20250818-165900,8,008.csv,4,171664.6,171764.55,171752.1,7,1,8,0.875,3
20250818-165900,8,008.csv,4,171664.6,171764.55,171664.6,33,5,2,0.0,3
