timestamp,file_num,filename,event_id,start_time,end_time,trigger_time,channel,grid_row,grid_col,time_proportion,active_channels
20250818-165900,22,022.csv,1,879.9,979.85,883.5,24,4,1,0.036,2
20250818-165900,22,022.csv,1,879.9,979.85,879.9,45,6,6,0.0,2
20250818-165900,22,022.csv,2,8938.6,9038.55,8959.65,13,2,6,0.2105,7
20250818-165900,22,022.csv,2,8938.6,9038.55,8941.1,27,4,4,0.025,7
20250818-165900,22,022.csv,2,8938.6,9038.55,8938.6,31,4,8,0.0,7
20250818-165900,22,022.csv,2,8938.6,9038.55,8959.1,38,5,7,0.205,7
20250818-165900,22,022.csv,2,8938.6,9038.55,8949.75,39,5,8,0.1115,7
20250818-165900,22,022.csv,2,8938.6,9038.55,8938.65,47,6,8,0.0005,7
20250818-165900,22,022.csv,2,8938.6,9038.55,8959.05,59,8,4,0.2045,7
20250818-165900,22,022.csv,3,12749.15,12849.1,12749.15,31,4,8,0.0,3
20250818-165900,22,022.csv,3,12749.15,12849.1,12766.15,38,5,7,0.17,3
20250818-165900,22,022.csv,3,12749.15,12849.1,12749.2,39,5,8,0.0005,3
20250818-165900,22,022.csv,4,18834.5,18934.45,18835.45,30,4,7,0.0095,3
20250818-165900,22,022.csv,4,18834.5,18934.45,18834.5,31,4,8,0.0,3
20250818-165900,22,022.csv,4,18834.5,18934.45,18835.55,38,5,7,0.0105,3
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.15,0,1,1,0.076,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.9,1,1,2,0.0735,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.05,2,1,3,0.075,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.1,3,1,4,0.0755,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.65,4,1,5,0.071,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23899.25,5,1,6,0.047,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23899.3,6,1,7,0.0475,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.15,7,1,8,0.076,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.05,8,2,1,0.075,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.7,9,2,2,0.0815,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.05,10,2,3,0.075,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.55,11,2,4,0.08,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.0,12,2,5,0.0745,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.15,13,2,6,0.076,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.15,14,2,7,0.076,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.95,15,2,8,0.074,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.35,16,3,1,0.078,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23899.3,18,3,3,0.0475,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.9,19,3,4,0.0735,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23898.75,20,3,5,0.042,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.9,21,3,6,0.0735,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.4,23,3,8,0.0785,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23899.4,24,4,1,0.0485,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.4,25,4,2,0.0785,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.0,26,4,3,0.0745,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23899.05,27,4,4,0.045,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.4,28,4,5,0.0785,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.8,29,4,6,0.0725,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.75,30,4,7,0.082,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23894.6,32,5,1,0.0005,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.95,33,5,2,0.074,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.65,34,5,3,0.071,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.95,36,5,5,0.074,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.05,37,5,6,0.075,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.95,38,5,7,0.074,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.6,39,5,8,0.0705,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23899.3,40,6,1,0.0475,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23894.55,41,6,2,0.0,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.6,42,6,3,0.0705,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.85,43,6,4,0.073,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.95,45,6,6,0.074,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.25,46,6,7,0.077,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.95,47,6,8,0.074,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.9,48,7,1,0.0735,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.85,49,7,2,0.073,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23899.25,50,7,3,0.047,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.7,52,7,5,0.0815,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.8,54,7,7,0.0725,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.55,55,7,8,0.08,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23901.65,61,8,6,0.071,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.0,62,8,7,0.0745,52
20250818-165900,22,022.csv,5,23894.55,23994.5,23902.4,63,8,8,0.0785,52
20250818-165900,22,022.csv,6,25268.75,25368.7,25268.75,38,5,7,0.0,2
20250818-165900,22,022.csv,6,25268.75,25368.7,25268.75,39,5,8,0.0,2
20250818-165900,22,022.csv,7,29501.55,29601.5,29501.55,31,4,8,0.0,3
20250818-165900,22,022.csv,7,29501.55,29601.5,29501.6,38,5,7,0.0005,3
20250818-165900,22,022.csv,7,29501.55,29601.5,29501.55,39,5,8,0.0,3
20250818-165900,22,022.csv,8,33377.15,33477.1,33468.15,13,2,6,0.91,3
20250818-165900,22,022.csv,8,33377.15,33477.1,33377.15,38,5,7,0.0,3
20250818-165900,22,022.csv,8,33377.15,33477.1,33377.15,39,5,8,0.0,3
20250818-165900,22,022.csv,9,35247.8,35347.75,35267.75,30,4,7,0.1995,6
20250818-165900,22,022.csv,9,35247.8,35347.75,35265.2,31,4,8,0.174,6
20250818-165900,22,022.csv,9,35247.8,35347.75,35265.25,38,5,7,0.1745,6
20250818-165900,22,022.csv,9,35247.8,35347.75,35265.25,39,5,8,0.1745,6
20250818-165900,22,022.csv,9,35247.8,35347.75,35247.8,47,6,8,0.0,6
20250818-165900,22,022.csv,9,35247.8,35347.75,35282.35,59,8,4,0.3455,6
20250818-165900,22,022.csv,10,36050.1,36150.05,36052.75,14,2,7,0.0265,8
20250818-165900,22,022.csv,10,36050.1,36150.05,36054.6,30,4,7,0.045,8
20250818-165900,22,022.csv,10,36050.1,36150.05,36054.6,31,4,8,0.045,8
20250818-165900,22,022.csv,10,36050.1,36150.05,36056.6,36,5,5,0.065,8
20250818-165900,22,022.csv,10,36050.1,36150.05,36054.65,38,5,7,0.0455,8
20250818-165900,22,022.csv,10,36050.1,36150.05,36054.1,39,5,8,0.04,8
20250818-165900,22,022.csv,10,36050.1,36150.05,36050.1,47,6,8,0.0,8
20250818-165900,22,022.csv,10,36050.1,36150.05,36064.45,59,8,4,0.1435,8
20250818-165900,22,022.csv,11,36446.85,36546.8,36446.85,31,4,8,0.0,2
20250818-165900,22,022.csv,11,36446.85,36546.8,36446.9,38,5,7,0.0005,2
20250818-165900,22,022.csv,12,36817.0,36916.95,36817.1,38,5,7,0.001,2
20250818-165900,22,022.csv,12,36817.0,36916.95,36817.0,39,5,8,0.0,2
20250818-165900,22,022.csv,13,38625.35,38725.3,38632.5,13,2,6,0.0715,4
20250818-165900,22,022.csv,13,38625.35,38725.3,38629.1,30,4,7,0.0375,4
20250818-165900,22,022.csv,13,38625.35,38725.3,38628.9,31,4,8,0.0355,4
20250818-165900,22,022.csv,13,38625.35,38725.3,38625.35,39,5,8,0.0,4
20250818-165900,22,022.csv,14,42795.15,42895.1,42795.15,0,1,1,0.0,3
20250818-165900,22,022.csv,14,42795.15,42895.1,42836.65,31,4,8,0.415,3
20250818-165900,22,022.csv,14,42795.15,42895.1,42836.65,39,5,8,0.415,3
20250818-165900,22,022.csv,15,51050.2,51150.15,51056.65,0,1,1,0.0645,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51054.1,1,1,2,0.039,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51054.1,2,1,3,0.039,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51055.45,3,1,4,0.0525,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51055.45,5,1,6,0.0525,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51050.2,6,1,7,0.0,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51056.65,7,1,8,0.0645,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51055.7,8,2,1,0.055,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51055.95,9,2,2,0.0575,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51055.55,10,2,3,0.0535,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51056.1,11,2,4,0.059,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51055.45,12,2,5,0.0525,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51055.5,13,2,6,0.053,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51056.25,14,2,7,0.0605,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51055.8,17,3,2,0.056,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51055.0,18,3,3,0.048,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51054.95,19,3,4,0.0475,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51054.8,20,3,5,0.046,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51055.8,21,3,6,0.056,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51054.7,24,4,1,0.045,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51055.25,25,4,2,0.0505,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51054.05,26,4,3,0.0385,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51055.25,27,4,4,0.0505,46
20250818-165900,22,022.csv,15,51050.2,51150.15,51055.75,28,4,5,0.0555,46
